Genome,vOTU ID,ClusterStatus,VCStatus,contig_length,provirus,proviral_length,gene_count,viral_genes,host_genes,checkv_quality,miuvig_quality,completeness,completeness_method,contamination,kmer_freq,warnings,clstr,clstr_size,length,clstr_rep,clstr_iden,clstr_cov,Phylum,Class,Order,Family,Genus,ICTV_Phylum,ICTV_Class,ICTV_Order,ICTV_Family,ICTV_Genus,SampleID,SampleName,Cyanobacterial Order,Cyanobacterial Family,Cyanobacterial Genus,Cyanobacterial Speices,Strain,BioProject,SRA Accession No.,JGI IMGD No.,Reported Habitat,Habitat,Substrate,Location
TC16_NODE_15_length_389592_cov_33.467000_fragment_1,vOTU117,Unclustered,Unclustered,13019,No,NA,17,10,0,Low-quality,Genome-fragment,17.02,HMM-based (lower-bound),0,1,NA,492,2,13019,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC16,Goleter apudmare HA4340-LM2,Nostocales,Nostocaceae,Goleter,Goleter apudmare,HA4340-LM2,PRJNA621659,SRR11676930,3300035004,Cave rock wall,Cave,rock wall,"Hawaii, USA"
TC8_NODE_118_length_74115_cov_3458.954087,vOTU669,Unclustered,Unclustered,74115,No,NA,106,11,1,Medium-quality,Genome-fragment,61.49,HMM-based (lower-bound),0,1,low-confidence DTR,14,1,74115,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC8,Calothrix sp. FI2-JRJ7,Nostocales,Calotrichaceae,Calothrix,Calothrix sp.,FI2-JRJ7,PRJNA617096,SRR12347730,3300036390,Desert soil,Desert,soil,"California, USA"
TC21_NODE_629_length_11536_cov_1.269875,vOTU261,Clustered,1417_0,11536,No,NA,15,7,1,Low-quality,Genome-fragment,16.7,HMM-based (lower-bound),0,1,NA,536,1,11536,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC21,Kastovskya adunca ATA6-11-RM4,Oscillatoriales,Coleofasciculaceae,Kastovskya,Kastovskya adunca,ATA6-11-RM4,PRJNA621676,SRR11678224,3300034631,Desert soil,Desert,soil,"Atacama, Chile"
TC5_NODE_42_length_173343_cov_1.925630_fragment_4,vOTU631,Unclustered,Unclustered,17870,No,NA,20,0,8,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,376,1,17870,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC5,Aphanothece sp. CMT-3BRIN-NPC111,Chroococcales,Aphanothecaceae,Aphanothece,Aphanothece sp.,CMT-3BRIN-NPC111,PRJNA617094,SRR12347633,3300036407,Desert soil,Desert,soil,"California, USA"
TC5_NODE_42_length_173343_cov_1.925630_fragment_2,vOTU630,Clustered,1451_0,17069,No,NA,27,9,1,Low-quality,Genome-fragment,26.08,HMM-based (lower-bound),0,1,NA,395,1,17069,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC5,Aphanothece sp. CMT-3BRIN-NPC111,Chroococcales,Aphanothecaceae,Aphanothece,Aphanothece sp.,CMT-3BRIN-NPC111,PRJNA617094,SRR12347633,3300036407,Desert soil,Desert,soil,"California, USA"
TC19_k99_27847_fragment_5,vOTU155,Unclustered,Unclustered,38060,Yes,15567,39,12,9,Low-quality,Genome-fragment,32.87,HMM-based (lower-bound),59.1,1,NA,431,1,15567,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC19,Iphinoe sp. HA4291-MV1,Nostocales,Stigonemataceae,Iphinoe,Iphinoe sp.,HA4291-MV1,PRJNA617100,SRR12349226,3300036393,Tropical soil,Tropics,soil,"Hawaii, USA"
TC19_k99_27847_fragment_2,vOTU154,Clustered,1467_0,25409,No,NA,18,1,4,Low-quality,Genome-fragment,13.23,HMM-based (lower-bound),0,1,NA,277,1,25409,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC19,Iphinoe sp. HA4291-MV1,Nostocales,Stigonemataceae,Iphinoe,Iphinoe sp.,HA4291-MV1,PRJNA617100,SRR12349226,3300036393,Tropical soil,Tropics,soil,"Hawaii, USA"
TC22_k99_19554,vOTU279,Clustered,193_0,12268,No,NA,15,9,0,Low-quality,Genome-fragment,15.73,HMM-based (lower-bound),0,1,NA,518,1,12268,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC22,Komarekiella atlantica HA4396-MV6,Nostocales,Nostocaceae,Komarekiella,Komarekiella atlantica,HA4396-MV6,PRJNA650825,SRR12951531,3300038556,Tropical vernal pool,Tropics,water,"Hawaii, USA"
TC31_NODE_195_length_37807_cov_6.174443,vOTU414,Clustered,828_0,37807,No,NA,57,18,0,Medium-quality,Genome-fragment,65.13,HMM-based (lower-bound),0,1.01,low-confidence DTR,175,1,37807,1,100,100%,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Unclassified,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC31,Oscillatoria princeps RMCB-10,Oscillatoriales,Oscillatoriaceae,Oscillatoria,Oscillatoria princeps,RMCB-10,PRJNA621670,SRR11678154,3300035015,Surface water,Aquatic,water,"Lower Austria, Austria"
TC10_NODE_137_length_8663_cov_6.226645,vOTU24,Unclustered,Unclustered,8663,No,NA,11,6,0,Low-quality,Genome-fragment,11.61,HMM-based (lower-bound),0,1,NA,609,1,8663,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC10,Cyanomargarita calcarea GSE-NOS-MK-12-04C,Nostocales,Cyanomargaritaceae,Cyanomargarita,Cyanomargarita calcarea,GSE-NOS-MK-12-04C,PRJNA621661,SRR11676926,3300035006,Desert wet wall,Desert,rock wall,"Utah, USA"
TC25_k99_9116_fragment_1,vOTU336,Unclustered,Unclustered,10728,No,NA,18,1,2,High-quality,High-quality,100,HMM-based (lower-bound),0,1,NA,555,2,10728,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC25,Mojavia pulchra JT2-VF2,Nostocales,Nostocaceae,Mojavia,Mojavia pulchra,JT2-VF2,PRJNA650826,SRR12951532,3300038557,Desert soil,Desert,soil,"California, USA"
TC40_NODE_8_length_382506_cov_115.987729_fragment_2,vOTU516,Unclustered,Unclustered,91057,No,NA,134,25,2,Medium-quality,Genome-fragment,86.97,HMM-based (lower-bound),0,1,NA,7,1,91057,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC40,Scytonematopsis contorta HA4267-MV1,Nostocales,Scytonemataceae,Scytonematopsis,Scytonematopsis contorta,HA4267-MV1,PRJNA653495,SRR12688486,3300037859,Tropical vernal pool,Tropics,water,"Hawaii, USA"
TC22_k99_5978,vOTU677,Clustered,946_0,5893,No,NA,10,5,0,Low-quality,Genome-fragment,3.44,HMM-based (lower-bound),0,1,NA,60,4,5893,0,99.98%,11%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC22,Komarekiella atlantica HA4396-MV6,Nostocales,Nostocaceae,Komarekiella,Komarekiella atlantica,HA4396-MV6,PRJNA650825,SRR12951531,3300038556,Tropical vernal pool,Tropics,water,"Hawaii, USA"
TC9_NODE_622_length_20530_cov_1.513895,vOTU698,Unclustered,Unclustered,20530,No,NA,25,9,0,Low-quality,Genome-fragment,33.87,HMM-based (lower-bound),0,1,NA,342,1,20530,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC9,Chroococcus sp. CMT-3BRIN-NPC107,Chroococcales,Chroococcaceae,Chroococcus,Chroococcus sp.,CMT-3BRIN-NPC107,PRJNA653492,SRR12688413,3300037833,Desert soil,Desert,soil,"California, USA"
TC10_NODE_3_length_1587167_cov_5.561156_fragment_5,vOTU29,Unclustered,Unclustered,15754,No,NA,23,1,0,Low-quality,Genome-fragment,8.61,HMM-based (lower-bound),0,1,NA,427,1,15754,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC10,Cyanomargarita calcarea GSE-NOS-MK-12-04C,Nostocales,Cyanomargaritaceae,Cyanomargarita,Cyanomargarita calcarea,GSE-NOS-MK-12-04C,PRJNA621661,SRR11676926,3300035006,Desert wet wall,Desert,rock wall,"Utah, USA"
TC10_NODE_3_length_1587167_cov_5.561156_fragment_9,vOTU30,Clustered,1434_0,14952,Yes,12321,18,6,2,Low-quality,Genome-fragment,23.92,HMM-based (lower-bound),17.6,1,NA,515,1,12321,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC10,Cyanomargarita calcarea GSE-NOS-MK-12-04C,Nostocales,Cyanomargaritaceae,Cyanomargarita,Cyanomargarita calcarea,GSE-NOS-MK-12-04C,PRJNA621661,SRR11676926,3300035006,Desert wet wall,Desert,rock wall,"Utah, USA"
TC11_NODE_81_length_177607_cov_2.780341_fragment_1,vOTU58,Clustered,914_0,36236,No,NA,46,7,0,Medium-quality,Genome-fragment,64.44,HMM-based (lower-bound),0,1,NA,194,1,36236,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC11,Cyanosarcina radialis HA8281-LM2,Chroococcales,Chroococcaceae,Cyanosarcina ,Cyanosarcina radialis,HA8281-LM2,PRJNA653493,SRR12688412,3300037834,Cave rock wall,Cave,rock wall,"Hawaii, USA"
TC21_NODE_922_length_8174_cov_6.020380,vOTU271,Unclustered,Unclustered,8174,No,NA,11,1,1,Low-quality,Genome-fragment,11.5,HMM-based (lower-bound),0,1,NA,622,1,8174,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC21,Kastovskya adunca ATA6-11-RM4,Oscillatoriales,Coleofasciculaceae,Kastovskya,Kastovskya adunca,ATA6-11-RM4,PRJNA621676,SRR11678224,3300034631,Desert soil,Desert,soil,"Atacama, Chile"
TC29_NODE_70_length_349779_cov_17.321517_fragment_1,vOTU330,Clustered,1110_0,56356,No,NA,91,18,1,Medium-quality,Genome-fragment,74.88,HMM-based (lower-bound),0,1,NA,28,2,56356,0,100.00%,93%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC29,Nostoc desertorum CM1-VF14,Nostocales,Nostocaceae,Nostoc,Nostoc desertorum,CM1-VF14,PRJNA617101,SRR12349250,3300036444,Desert soil,Desert,soil,"California, USA"
TC37_NODE_29_length_373789_cov_3.370501_fragment_2,vOTU471,Unclustered,Unclustered,12568,No,NA,11,0,5,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,505,1,12568,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC37,Pleurocapsa minor HA4230-MV1,Pleurocapsales,Hyellaceae,Pleurocapsa,Pleurocapsa minor,HA4230-MV1,PRJNA617104,SRR12349680,3300036396,Tropical rock wall,Tropics,rock wall,"Hawaii, USA"
TC37_NODE_29_length_373789_cov_3.370501_fragment_4,vOTU472,Clustered,1431_0,5464,No,NA,8,2,0,Medium-quality,Genome-fragment,55.47,HMM-based (lower-bound),0,1,NA,693,1,5464,1,100,100%,Hofneiviricota,Faserviricetes,Tubulavirales,Inoviridae,Unclassified,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC37,Pleurocapsa minor HA4230-MV1,Pleurocapsales,Hyellaceae,Pleurocapsa,Pleurocapsa minor,HA4230-MV1,PRJNA617104,SRR12349680,3300036396,Tropical rock wall,Tropics,rock wall,"Hawaii, USA"
TC21_NODE_1285_length_6345_cov_3.962528,vOTU232,Clustered,1466_0,6345,No,NA,7,5,0,Low-quality,Genome-fragment,10.56,HMM-based (lower-bound),0,1,NA,669,1,6345,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC21,Kastovskya adunca ATA6-11-RM4,Oscillatoriales,Coleofasciculaceae,Kastovskya,Kastovskya adunca,ATA6-11-RM4,PRJNA621676,SRR11678224,3300034631,Desert soil,Desert,soil,"Atacama, Chile"
TC38_NODE_66_length_66852_cov_1.404361_fragment_1,vOTU487,Clustered,444_0,45209,Yes,37088,53,35,7,Medium-quality,Genome-fragment,60.55,HMM-based (lower-bound),17.96,1,low-confidence Provirus,185,1,37088,1,100,100%,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Unclassified,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC38,Scytolyngbya sp. HA4215-MV1,Pseudanabaenales,Leptolyngbyaceae,Scytolyngbya,Scytolyngbya sp.,HA4215-MV1,PRJNA617105,SRR12349737,3300036104,Freshwater stream,Aquatic,water,"Hawaii, USA"
TC38_NODE_263_length_14327_cov_0.906690,vOTU482,Clustered,7_0,14327,No,NA,15,10,1,Low-quality,Genome-fragment,26.18,HMM-based (lower-bound),0,1,NA,463,1,14327,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC38,Scytolyngbya sp. HA4215-MV1,Pseudanabaenales,Leptolyngbyaceae,Scytolyngbya,Scytolyngbya sp.,HA4215-MV1,PRJNA617105,SRR12349737,3300036104,Freshwater stream,Aquatic,water,"Hawaii, USA"
TC21_NODE_84_length_141430_cov_3.900250_fragment_1,vOTU268,Clustered,1434_0,12560,No,NA,12,5,0,Low-quality,Genome-fragment,25.41,HMM-based (lower-bound),0,1,NA,507,2,12560,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC21,Kastovskya adunca ATA6-11-RM4,Oscillatoriales,Coleofasciculaceae,Kastovskya,Kastovskya adunca,ATA6-11-RM4,PRJNA621676,SRR11678224,3300034631,Desert soil,Desert,soil,"Atacama, Chile"
TC21_NODE_84_length_141430_cov_3.900250_fragment_3,vOTU269,Clustered,1476_0,11364,No,NA,12,4,0,Low-quality,Genome-fragment,9.89,HMM-based (lower-bound),0,1,NA,543,2,11364,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC21,Kastovskya adunca ATA6-11-RM4,Oscillatoriales,Coleofasciculaceae,Kastovskya,Kastovskya adunca,ATA6-11-RM4,PRJNA621676,SRR11678224,3300034631,Desert soil,Desert,soil,"Atacama, Chile"
TC21_NODE_1296_length_6268_cov_1.641915,vOTU234,Unclustered,Unclustered,6268,Yes,3048,9,3,2,Low-quality,Genome-fragment,3.32,HMM-based (lower-bound),51.37,1,NA,723,1,3048,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC21,Kastovskya adunca ATA6-11-RM4,Oscillatoriales,Coleofasciculaceae,Kastovskya,Kastovskya adunca,ATA6-11-RM4,PRJNA621676,SRR11678224,3300034631,Desert soil,Desert,soil,"Atacama, Chile"
TC44_NODE_23_length_648394_cov_5.577250_fragment_4,vOTU565,Unclustered,Unclustered,13292,No,NA,11,0,3,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,482,1,13292,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC44,Tildeniella nuda ZEHNDER 1965/U140,Pseudanabaenales,Oculatellaceae,Tildeniella,Tildeniella nuda,ZEHNDER 1965/U140,PRJNA621657,SRR11676687,3300035002,Temperate wet wall,Temperate,rock wall,"Zurich, Switzerland"
TC44_NODE_23_length_648394_cov_5.577250_fragment_7,vOTU566,Unclustered,Unclustered,23512,Yes,12749,27,8,9,Low-quality,Genome-fragment,18.42,HMM-based (lower-bound),45.78,1,low-confidence Provirus,500,1,12749,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC44,Tildeniella nuda ZEHNDER 1965/U140,Pseudanabaenales,Oculatellaceae,Tildeniella,Tildeniella nuda,ZEHNDER 1965/U140,PRJNA621657,SRR11676687,3300035002,Temperate wet wall,Temperate,rock wall,"Zurich, Switzerland"
TC25_k99_10197_fragment_1,vOTU321,Unclustered,Unclustered,47022,No,NA,63,19,2,Medium-quality,Genome-fragment,83.51,HMM-based (lower-bound),0,1,NA,75,2,47022,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC25,Mojavia pulchra JT2-VF2,Nostocales,Nostocaceae,Mojavia,Mojavia pulchra,JT2-VF2,PRJNA650826,SRR12951532,3300038557,Desert soil,Desert,soil,"California, USA"
TC20_NODE_5_length_1493068_cov_3.623527_fragment_1,vOTU222,Unclustered,Unclustered,17702,No,NA,28,10,0,Low-quality,Genome-fragment,22.56,HMM-based (lower-bound),0,1,NA,379,1,17702,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC20,Kaiparowitsia implicata GSE-PSE-MK54-09C,Pseudanabaenales,Oculatellaceae,Kaiparowitsia,Kaiparowitsia implicata,GSE-PSE-MK54-09C,PRJNA650883,SRR13242888,3300038555,Desert wet wall,Desert,rock wall,"Utah, USA"
TC42_NODE_51_length_256701_cov_15.389868_fragment_4,vOTU534,Clustered,1110_0,31376,No,NA,38,20,0,Low-quality,Genome-fragment,39.26,HMM-based (lower-bound),0,1,NA,233,1,31376,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC42,Stenomitos rutilans HA7619-LM2,Pseudanabaenales,Leptolyngbyaceae,Stenomitos,Stenomitos rutilans,HA7619-LM2,PRJNA617107,SRR12350322,3300036446,Cave rock wall,Cave,rock wall,"Hawaii, USA"
TC31_NODE_11_length_673704_cov_3.303627_fragment_1,vOTU405,Unclustered,Unclustered,32543,No,NA,33,1,4,Low-quality,Genome-fragment,42.86,HMM-based (lower-bound),0,1,NA,220,1,32543,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC31,Oscillatoria princeps RMCB-10,Oscillatoriales,Oscillatoriaceae,Oscillatoria,Oscillatoria princeps,RMCB-10,PRJNA621670,SRR11678154,3300035015,Surface water,Aquatic,water,"Lower Austria, Austria"
TC11_NODE_478_length_34249_cov_1.798371,vOTU49,Clustered,346_0,34249,Yes,31087,45,11,2,Medium-quality,Genome-fragment,55.06,HMM-based (lower-bound),9.23,1,NA,239,1,31087,1,100,100%,Uroviricota,Caudoviricetes,Caudovirales,Podoviridae,Unclassified,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC11,Cyanosarcina radialis HA8281-LM2,Chroococcales,Chroococcaceae,Cyanosarcina ,Cyanosarcina radialis,HA8281-LM2,PRJNA653493,SRR12688412,3300037834,Cave rock wall,Cave,rock wall,"Hawaii, USA"
TC39_NODE_17_length_560322_cov_15.182160_fragment_6,vOTU494,Clustered,132_0,63730,No,NA,89,35,2,Medium-quality,Genome-fragment,88.23,HMM-based (lower-bound),0,1,NA,24,1,63730,1,100,100%,Uroviricota,Caudoviricetes,Caudovirales,Myoviridae,Unclassified,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC39,Scytonema hyalinum WJT4-NPBG1,Nostocales,Scytonemataceae,Scytonema,Scytonema hyalinum,WJT4-NPBG1,PRJNA617106,SRR12349874,3300036520,Desert soil,Desert,soil,"California, USA"
TC39_NODE_17_length_560322_cov_15.182160_fragment_8,vOTU495,Clustered,1482_0,40253,No,NA,42,1,5,Medium-quality,Genome-fragment,58.93,HMM-based (lower-bound),0,1.01,NA,140,1,40253,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC39,Scytonema hyalinum WJT4-NPBG1,Nostocales,Scytonemataceae,Scytonema,Scytonema hyalinum,WJT4-NPBG1,PRJNA617106,SRR12349874,3300036520,Desert soil,Desert,soil,"California, USA"
TC2_NODE_222_length_99539_cov_64.537752_fragment_1,vOTU194,Unclustered,Unclustered,39388,No,NA,56,13,0,Medium-quality,Genome-fragment,51.61,HMM-based (lower-bound),0,1,NA,153,1,39388,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC2,Aphanocapsa lilacina HA4352-LM1,Synechococcales,Merismopediaceae,Aphanocapsa,Aphanocapsa lilacina,HA4352-LM1,PRJNA677053,SRR13206895,3300039303,Cave rock wall,Cave,rock wall,"Hawaii, USA"
TC28_NODE_16_length_478234_cov_6.417026_fragment_3,vOTU349,Clustered,136_0,43075,Yes,34815,51,15,3,Medium-quality,Genome-fragment,58.6,HMM-based (lower-bound),19.18,1,NA,205,1,34815,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC28,Nodosilinea sp. WJT8-NPBG4,Pseudanabaenales,Prochlorotrichaceae,Nodosilinea,Nodosilinea sp.,WJT8-NPBG4,PRJNA621656,SRR11676645,3300035001,Desert soil,Desert,soil,"California, USA"
TC43_NODE_380_length_5534_cov_2.150915,vOTU551,Unclustered,Unclustered,5534,No,NA,7,3,0,Low-quality,Genome-fragment,5.37,HMM-based (lower-bound),0,1.03,NA,691,1,5534,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC43,Symplocastrum torsivum CPER-KK1,Oscillatoriales,Microcoleaceae,Symplocastrum,Symplocastrum torsivum,CPER-KK1,PRJNA617108,SRR12350505,3300036521,Grassland soil,Grassland,soil,"Colorado, USA"
TC8_NODE_17_length_406625_cov_8.470312_fragment_2,vOTU670,Unclustered,Unclustered,46132,No,NA,66,12,2,Medium-quality,Genome-fragment,77.45,HMM-based (lower-bound),0,1,NA,80,1,46132,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC8,Calothrix sp. FI2-JRJ7,Nostocales,Calotrichaceae,Calothrix,Calothrix sp.,FI2-JRJ7,PRJNA617096,SRR12347730,3300036390,Desert soil,Desert,soil,"California, USA"
TC6_NODE_16_length_473899_cov_13.755216_fragment_4,vOTU641,Unclustered,Unclustered,33279,No,NA,39,1,4,Medium-quality,Genome-fragment,66.98,HMM-based (lower-bound),0,1,NA,216,1,33279,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC6,Brasilonema angustatum HA4187-MV1,Nostocales,Scytonemataceae,Brasilonema,Brasilonema angustatum,CMT-3BRIN-NPC111,PRJNA617095,SRR12347719,3300036389,Tropical soil,Tropics,soil,"Hawaii, USA"
TC25_k99_4709_fragment_1,vOTU331,Clustered,194_0,9937,No,NA,18,3,1,Low-quality,Genome-fragment,14.09,HMM-based (lower-bound),0,1.01,NA,574,1,9937,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC25,Mojavia pulchra JT2-VF2,Nostocales,Nostocaceae,Mojavia,Mojavia pulchra,JT2-VF2,PRJNA650826,SRR12951532,3300038557,Desert soil,Desert,soil,"California, USA"
TC49_NODE_6_length_646733_cov_70.616468_fragment_7,vOTU615,Unclustered,Unclustered,6378,No,NA,8,0,2,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,668,1,6378,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC49,Trichocoleus desertorum ATA4-8-CV12,Synechococcales,Trichocoleusaceae,Trichocoleus,Trichocoleus desertorum,ATA4-8-CV12,PRJNA621668,SRR11678143,3300035013,Desert soil,Desert,soil,"Atacama, Chile"
TC49_NODE_6_length_646733_cov_70.616468_fragment_9,vOTU616,Unclustered,Unclustered,12725,No,NA,13,0,2,Not-determined,Genome-fragment,NA,NA,0,1,no viral genes detected,502,1,12725,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC49,Trichocoleus desertorum ATA4-8-CV12,Synechococcales,Trichocoleusaceae,Trichocoleus,Trichocoleus desertorum,ATA4-8-CV12,PRJNA621668,SRR11678143,3300035013,Desert soil,Desert,soil,"Atacama, Chile"
TC22_k99_11109,vOTU273,Unclustered,Unclustered,9130,No,NA,11,6,0,Low-quality,Genome-fragment,11.84,HMM-based (lower-bound),0,1,NA,599,1,9130,1,100,100%,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC22,Komarekiella atlantica HA4396-MV6,Nostocales,Nostocaceae,Komarekiella,Komarekiella atlantica,HA4396-MV6,PRJNA650825,SRR12951531,3300038556,Tropical vernal pool,Tropics,water,"Hawaii, USA"
TC1_NODE_41_length_577301_cov_7.965251_fragment_1,vOTU15,Clustered,1442_0,38979,No,NA,53,15,0,Medium-quality,Genome-fragment,56.68,HMM-based (lower-bound),0,1,NA,159,1,38979,1,100,100%,Uroviricota,Caudoviricetes,Caudovirales,Siphoviridae,Unclassified,Unassigned,Unassigned,Unassigned,Unassigned,Unassigned,TC1,Aetokthonos hydrillicola B3-Florida,Nostocales,Hapalosiphonaceae,Aetokthonos,Aetokthonos hydrillicola,B3-Florida,PRJNA617093,SRR12347192,3300036376,Aquatic epiphyte,Aquatic,plant,"South Carolina, USA"
